面試代碼 (kkey),hash,性別,年齡,工作年資,我有一定的天賦，不太容易改變。,我認為我的天賦難以再提升。,我可以學習新東西，但難以改善天賦。,平均分數
PO4872,c9170abdbf023b750207807b5df9cda9,女,18-29歲,5年以上未滿10年,3.0,2.0,2.0,2.3333333333333335
CV2259,1f81b0d9b0866e65093251c11e68aa2f,女,60歲(含)以上,10年以上,2.0,2.0,2.0,2.0
MS6327,b613d72274061ee5d3936f880064d217,男,30~39歲,5年以上未滿10年,4.0,4.0,4.0,4.0
SF2758,10cd9ef653de3fba85cc35d29319b297,女,18-29歲,未滿1年,4.0,2.0,2.0,2.6666666666666665
AD0995,ca08afef53a0a4312be3050391f97e19,女,18-29歲,3年以上未滿5年,2.0,3.0,4.0,3.0
VR5641,c4fd001319ae1694763a2a1d51b166bb,男,18-29歲,3年以上未滿5年,4.0,4.0,4.0,4.0
CA5403,061431e1e82aebed17d096d2f670fabc,男,60歲(含)以上,10年以上,4.0,4.0,4.0,4.0
YM9532,430814fd5617f15a546e06ac292e1b03,女,60歲(含)以上,10年以上,3.0,2.0,2.0,2.3333333333333335
SQ1354,c9cc075c0093ba39006780683df2c0bb,男,18-29歲,1年以上未滿3年,2.5,2.0,2.5,2.3333333333333335
LP5610,f597de19687a1f70182e64632a87314d,女,18-29歲,未滿1年,3.5,3.5,4.0,3.6666666666666665
ZL2726,0ba044fb1982343f284cf3f11574c1e8,男,18-29歲,1年以上未滿3年,2.5,1.0,2.0,1.8333333333333333
ML6436,afb397b7d71fb7aba37e0e45279a60b9,女,18-29歲,未滿1年,5.0,5.0,5.0,5.0
ZO9454,d0bd457918ddfaf993f2698ec255b565,女,18-29歲,未滿1年,5.0,5.0,5.0,5.0
XF6879,4097ee838f0d1688a52de9d6c93e3496,男,30~39歲,5年以上未滿10年,2.0,2.0,2.0,2.0
ZN4861,4a548cc62852785f148c25e067cc9eab,男,18-29歲,1年以上未滿3年,4.0,4.0,4.0,4.0
JV6180,1e88f3e2d7178c674c8d74f6f4639131,女,30~39歲,5年以上未滿10年,4.0,4.0,4.0,4.0
RB6255,a73db2b35f2727ab67093aec388a05e4,男,18-29歲,1年以上未滿3年,4.0,2.0,2.0,2.6666666666666665
QF8858,72a986ab3ce2f6f893330b76c5cca9cb,女,30~39歲,5年以上未滿10年,3.0,2.0,2.0,2.3333333333333335
WK3702,407feb3db665c0d5510a750bbb9476e5,女,18-29歲,未滿1年,5.0,5.0,5.0,5.0
